type,geometry,lat,lon,quantity
Feature,Point,52.52944444,13.39611111,2352
Feature,Point,52.53,13.38361111,2209
Feature,Point,52.53027778,13.37472222,1273
Feature,Point,52.52611111,13.36888889,69
Feature,Point,52.48972222,13.37583333,2
Feature,Point,52.48083333,13.35472222,6
Feature,Point,52.47222222,13.34722222,4
Feature,Point,52.44944444,13.36083333,3
Feature,Point,52.28194444,13.26388889,2
Feature,Point,52.17805556,13.24055556,3
Feature,Point,52.09388889,13.17638889,1
Feature,Point,52.09166667,13.16166667,5
Feature,Point,52.04611111,13.12722222,1
Feature,Point,52.00805556,13.08472222,1
Feature,Point,51.92,12.77555556,3
Feature,Point,51.89166667,12.74083333,1
Feature,Point,51.86833333,12.67444444,4
Feature,Point,51.84305556,12.64555556,1
Feature,Point,51.59777778,12.3075,2
Feature,Point,51.57194444,12.27138889,1
Feature,Point,51.53694444,12.33166667,1
Feature,Point,51.51777778,12.35416667,2
Feature,Point,51.40888889,12.38916667,1
Feature,Point,51.36333333,12.35916667,1
Feature,Point,51.35194444,12.30138889,3
Feature,Point,51.34638889,12.29333333,1
Feature,Point,51.34722222,12.26888889,1
Feature,Point,51.32333333,12.26444444,2
Feature,Point,51.30972222,12.2275,2
Feature,Point,51.30555556,12.12444444,1
Feature,Point,51.26472222,12.025,1
Feature,Point,51.24138889,12.01861111,1
Feature,Point,51.16,11.82138889,2
Feature,Point,51.16277778,11.80027778,1
Feature,Point,51.01305556,11.66388889,1
Feature,Point,50.88638889,11.59583333,2
Feature,Point,51.04333333,11.70388889,1
Feature,Point,50.88166667,11.60138889,1
Feature,Point,50.88111111,11.60861111,1
Feature,Point,50.84472222,11.60944444,4
Feature,Point,50.80527778,11.60361111,1
Feature,Point,50.77555556,11.52138889,2
Feature,Point,50.70472222,11.33611111,1
Feature,Point,50.71777778,11.33416667,2
Feature,Point,50.71416667,11.31833333,1
Feature,Point,50.65555556,11.37722222,1
Feature,Point,50.63222222,11.37916667,1
Feature,Point,50.55861111,11.34472222,1
Feature,Point,50.51166667,11.38972222,1
Feature,Point,50.48777778,11.37027778,1
Feature,Point,50.24138889,11.32194444,1
Feature,Point,50.21388889,11.3325,1
Feature,Point,50.17055556,11.21166667,3
Feature,Point,50.14333333,11.06305556,2
Feature,Point,50.01916667,10.9275,1
Feature,Point,49.90583333,10.87805556,1
Feature,Point,49.86,10.97166667,1
Feature,Point,49.73277778,11.05888889,3
Feature,Point,49.71694444,11.06833333,3
Feature,Point,49.70611111,11.06972222,1
Feature,Point,49.65555556,11.03583333,3
Feature,Point,49.59611111,11.00361111,5
Feature,Point,49.60138889,11.00305556,68
Feature,Point,49.5925,11.00194444,9
Feature,Point,49.56916667,10.99,1
Feature,Point,49.56333333,11.0025,1
Feature,Point,49.52111111,10.99111111,2
Feature,Point,49.51305556,10.98416667,2
Feature,Point,49.50333333,10.98,2
Feature,Point,49.48361111,10.96111111,2
Feature,Point,49.47944444,10.97027778,1
Feature,Point,49.47138889,10.98861111,6
Feature,Point,49.46777778,11.00444444,3
Feature,Point,49.44416667,11.06944444,1
Feature,Point,49.44333333,11.08111111,23
Feature,Point,49.41361111,11.17444444,2
Feature,Point,49.39166667,11.1875,1
Feature,Point,49.17805556,11.25388889,1
Feature,Point,48.86361111,11.47222222,1
Feature,Point,48.75972222,11.43777778,1
Feature,Point,48.72805556,11.44638889,1
Feature,Point,48.69027778,11.45416667,1
Feature,Point,48.62166667,11.57305556,1
Feature,Point,48.54333333,11.51027778,2
Feature,Point,48.57944444,11.50194444,1
Feature,Point,48.53222222,11.505,1
Feature,Point,48.52055556,11.52194444,2
Feature,Point,48.49194444,11.49333333,1
Feature,Point,48.45861111,11.51555556,1
Feature,Point,48.3175,11.43666667,1
Feature,Point,48.24472222,11.4475,5
Feature,Point,48.20083333,11.46111111,1
Feature,Point,48.17722222,11.46666667,1
Feature,Point,48.14777778,11.49027778,2
Feature,Point,48.14055556,11.53027778,1
Feature,Point,48.14444444,11.5825,1
Feature,Point,48.13944444,11.58194444,2
Feature,Point,48.13722222,11.58083333,1
Feature,Point,48.13305556,11.57861111,3
Feature,Point,48.13055556,11.59027778,1
Feature,Point,48.13527778,11.59805556,20
Feature,Point,48.13027778,11.60138889,11
Feature,Point,48.13611111,11.60305556,2
Feature,Point,48.13638889,11.55888889,8
Feature,Point,48.13916667,11.56166667,8
Feature,Point,48.14027778,11.56194444,13
Feature,Point,48.14166667,11.55944444,3
Feature,Point,48.14333333,11.55583333,2
Feature,Point,48.14666667,11.535,3
Feature,Point,48.11833333,11.54138889,2
Feature,Point,48.11722222,11.53333333,17
Feature,Point,48.12361111,11.54166667,2
Feature,Point,48.13888889,11.55305556,1
Feature,Point,48.14083333,11.56138889,1
Feature,Point,48.12916667,11.59305556,1
Feature,Point,48.12361111,11.61027778,1
Feature,Point,48.1325,11.60944444,1
Feature,Point,48.14944444,11.64972222,2
Feature,Point,48.17138889,11.64555556,1
Feature,Point,48.17638889,11.64666667,5
Feature,Point,48.27916667,11.71055556,3
Feature,Point,48.29972222,11.71416667,1
Feature,Point,48.35361111,11.78527778,4
Feature,Point,48.35555556,11.79166667,6
Feature,Point,48.35138889,11.79222222,2
Feature,Point,48.3525,11.79222222,8
Feature,Point,52.54833333,13.26472222,4
Feature,Point,52.57166667,13.31444444,17
Feature,Point,52.56833333,13.34611111,9
Feature,Point,52.55444444,13.2925,31
Feature,Point,52.55388889,13.29166667,52
Feature,Point,52.545,13.31694444,7
Feature,Point,52.53361111,13.32805556,13
Feature,Point,52.53166667,13.40444444,6197
Feature,Point,52.52638889,13.40333333,983
Feature,Point,52.52361111,13.39888889,176
Feature,Point,52.52833333,13.42194444,167
Feature,Point,52.53583333,13.41,92
Feature,Point,52.52555556,13.41305556,24
Feature,Point,52.52083333,13.41444444,140
Feature,Point,52.52055556,13.405,92
Feature,Point,52.515,13.39555556,272
Feature,Point,52.51833333,13.38777778,196
Feature,Point,52.51111111,13.39,3
Feature,Point,52.51416667,13.38916667,171
Feature,Point,52.49388889,13.38805556,12
Feature,Point,52.52694444,13.38805556,166
Feature,Point,52.52388889,13.39277778,44
Feature,Point,52.51944444,13.39083333,90
Feature,Point,52.5225,13.38083333,813
Feature,Point,52.53555556,13.37861111,11
Feature,Point,52.52972222,13.37416667,71
Feature,Point,52.53527778,13.39861111,142
Feature,Point,52.52833333,13.40972222,64
Feature,Point,52.52666667,13.49888889,42
Feature,Point,52.53416667,13.51666667,4
Feature,Point,52.52611111,13.48444444,11
Feature,Point,52.52527778,13.51833333,11
Feature,Point,52.53361111,13.47666667,1
Feature,Point,52.525,13.46444444,22
Feature,Point,52.51083333,13.39138889,25
Feature,Point,52.50333333,13.39583333,10
Feature,Point,52.51111111,13.40305556,4
Feature,Point,52.53583333,13.39027778,175
Feature,Point,52.52694444,13.36472222,47
Feature,Point,52.52194444,13.36638889,81
Feature,Point,52.51666667,13.3775,19
Feature,Point,52.51777778,13.37888889,733
Feature,Point,52.51194444,13.3825,93
Feature,Point,52.52361111,13.43944444,93
Feature,Point,52.55416667,13.54888889,1
Feature,Point,52.5875,13.56222222,1
Feature,Point,52.59638889,13.59222222,2
Feature,Point,52.60888889,13.6225,1
Feature,Point,52.64555556,13.74972222,49
Feature,Point,52.61944444,13.67083333,12
Feature,Point,52.60472222,13.80833333,5
Feature,Point,52.68222222,13.57777778,1
Feature,Point,52.66944444,13.56305556,1
Feature,Point,52.60861111,13.52805556,3
Feature,Point,52.50972222,13.35888889,6
Feature,Point,52.505,13.34083333,5
Feature,Point,52.49666667,13.33166667,23
Feature,Point,52.52472222,13.3575,4
Feature,Point,52.52388889,13.345,1
Feature,Point,52.55194444,13.30333333,43
Feature,Point,48.35666667,11.79138889,8
Feature,Point,48.22888889,11.68611111,2
Feature,Point,48.22444444,11.67916667,1
Feature,Point,48.19111111,11.6475,1
Feature,Point,48.13444444,11.58222222,1
Feature,Point,48.13888889,11.56611111,4
Feature,Point,48.13944444,11.56777778,2
Feature,Point,48.13444444,11.565,1
Feature,Point,48.13916667,11.55888889,3
Feature,Point,48.14277778,11.56694444,6
Feature,Point,48.145,11.56111111,3
Feature,Point,48.14861111,11.55944444,6
Feature,Point,48.16444444,11.5625,32
Feature,Point,48.15583333,11.56916667,9
Feature,Point,48.16027778,11.55861111,12
Feature,Point,48.15694444,11.57138889,3
Feature,Point,48.15722222,11.56583333,5
Feature,Point,48.15472222,11.56055556,2
Feature,Point,48.14305556,11.49888889,1
Feature,Point,48.18555556,11.46777778,1
Feature,Point,48.21388889,11.45638889,1
Feature,Point,48.26055556,11.43611111,3
Feature,Point,48.26055556,11.46083333,1
Feature,Point,48.54,11.49111111,3
Feature,Point,48.56777778,11.52527778,3
Feature,Point,48.64444444,11.54777778,1
Feature,Point,48.69055556,11.45472222,1
Feature,Point,48.74694444,11.43916667,1
Feature,Point,48.77388889,11.43,1
Feature,Point,48.91055556,11.47277778,1
Feature,Point,49.35527778,11.20555556,2
Feature,Point,49.44472222,11.09666667,22
Feature,Point,49.4475,11.07694444,2
Feature,Point,49.45138889,11.07416667,10
Feature,Point,49.44944444,11.07805556,3
Feature,Point,49.45638889,11.0775,6
Feature,Point,49.45194444,11.07722222,1
Feature,Point,49.44638889,11.08083333,22
Feature,Point,49.46138889,11.01944444,1
Feature,Point,49.46222222,11.01083333,2
Feature,Point,49.46722222,10.95166667,2
Feature,Point,49.4925,10.94472222,3
Feature,Point,49.51805556,10.83527778,1
Feature,Point,49.55277778,10.74638889,1
Feature,Point,49.5775,10.60472222,3
Feature,Point,49.57055556,10.59638889,2
Feature,Point,49.62833333,10.47305556,2
Feature,Point,49.69833333,10.25083333,2
Feature,Point,49.72222222,10.27416667,1
Feature,Point,49.725,10.15861111,2
Feature,Point,49.76944444,10.15972222,2
Feature,Point,49.79111111,10.02722222,3
Feature,Point,49.80194444,9.975277778,2
Feature,Point,49.79638889,9.956388889,3
Feature,Point,49.82972222,9.861944444,2
Feature,Point,49.93166667,9.724722222,1
Feature,Point,50.40638889,9.650833333,1
Feature,Point,50.54972222,9.685277778,4
Feature,Point,50.56527778,9.682777778,1
Feature,Point,50.68944444,9.615277778,2
Feature,Point,50.77055556,9.6025,1
Feature,Point,50.8725,9.588055556,2
Feature,Point,51.28138889,9.450833333,3
Feature,Point,51.29388889,9.445833333,1
Feature,Point,51.31277778,9.448611111,1
Feature,Point,51.33194444,9.468888889,2
Feature,Point,51.40833333,9.720277778,13
Feature,Point,51.52416667,9.916388889,1
Feature,Point,51.53305556,9.924722222,2
Feature,Point,51.51111111,9.888055556,2
Feature,Point,51.71805556,10.00277778,1
Feature,Point,51.73888889,9.988055556,1
Feature,Point,51.82944444,9.983333333,1
Feature,Point,52.06194444,9.960833333,2
Feature,Point,52.19444444,10.10166667,2
Feature,Point,52.17777778,10.23305556,2
Feature,Point,52.19694444,10.32388889,5
Feature,Point,52.23222222,10.39361111,4
Feature,Point,52.25194444,10.53166667,1
Feature,Point,52.25444444,10.54027778,11
Feature,Point,52.25527778,10.62472222,2
Feature,Point,52.33083333,10.66722222,5
Feature,Point,52.39805556,10.7125,1
Feature,Point,52.425,10.72055556,42
Feature,Point,52.42972222,10.82111111,13
Feature,Point,52.43166667,10.85388889,14
Feature,Point,52.57333333,11.87611111,15
Feature,Point,52.60305556,12.37805556,25
Feature,Point,52.53805556,13.13166667,16
Feature,Point,52.53388889,13.17777778,30
Feature,Point,52.53722222,13.18777778,17
Feature,Point,52.53361111,13.19555556,18
Feature,Point,52.53638889,13.20305556,38
Feature,Point,52.52777778,13.22055556,21
Feature,Point,52.53055556,13.24,25
Feature,Point,52.51916667,13.25027778,21
Feature,Point,52.49388889,13.28611111,7
Feature,Point,52.50527778,13.30083333,39
Feature,Point,52.51083333,13.32888889,10
Feature,Point,52.51333333,13.33694444,5
Feature,Point,52.5575,13.3725,16
Feature,Point,52.52388889,13.42138889,15
Feature,Point,52.50694444,13.37833333,70
Feature,Point,52.50583333,13.3725,20
Feature,Point,52.50861111,13.37222222,64
Feature,Point,52.52027778,13.35472222,26
Feature,Point,52.50611111,13.32166667,5
Feature,Point,52.50444444,13.28055556,4
Feature,Point,52.50055556,13.2725,3
Feature,Point,52.50916667,13.26111111,9
Feature,Point,52.52777778,13.1875,2
Feature,Point,52.53222222,13.07361111,20
Feature,Point,52.5375,13.03111111,12
Feature,Point,52.55694444,12.86916667,3
Feature,Point,52.57472222,12.79722222,8
Feature,Point,52.60166667,12.53,9
Feature,Point,52.59138889,12.22388889,16
Feature,Point,52.58805556,12.14555556,7
Feature,Point,52.59722222,11.83611111,13
Feature,Point,52.57861111,11.7125,9
Feature,Point,52.53277778,11.54194444,16
Feature,Point,52.43111111,10.90722222,24
Feature,Point,52.41944444,10.84972222,6
Feature,Point,52.42666667,10.7875,22
Feature,Point,52.48138889,10.36194444,5
Feature,Point,52.44166667,10.28388889,6
Feature,Point,52.37416667,9.745,14
Feature,Point,52.39583333,9.644444444,6
Feature,Point,52.42333333,9.432222222,30
Feature,Point,52.32527778,9.198888889,12
Feature,Point,52.33611111,9.201666667,12
Feature,Point,52.28972222,8.915555556,2
Feature,Point,52.28583333,8.950833333,17
Feature,Point,52.25444444,8.932777778,16
Feature,Point,52.24666667,8.921388889,9
Feature,Point,52.24166667,8.936111111,21
Feature,Point,52.21138889,8.842222222,16
Feature,Point,52.20472222,8.796944444,4
Feature,Point,52.20388889,8.793055556,9
Feature,Point,52.19888889,8.734444444,15
Feature,Point,52.0275,8.528055556,11
Feature,Point,52.01888889,8.530277778,2
Feature,Point,52.01111111,8.514444444,33
Feature,Point,51.85361111,8.285555556,3
Feature,Point,51.85472222,8.273333333,9
Feature,Point,51.84138889,8.203888889,17
Feature,Point,51.76972222,7.913888889,19
Feature,Point,51.76083333,7.893888889,15
Feature,Point,51.70472222,7.833611111,240
Feature,Point,51.69055556,7.81,59
Feature,Point,51.68888889,7.792222222,17
Feature,Point,51.67916667,7.813333333,108
Feature,Point,51.70416667,7.752222222,3
Feature,Point,51.76111111,7.735833333,5
Feature,Point,51.90138889,7.651666667,23
Feature,Point,51.97194444,7.676666667,7
Feature,Point,51.9875,7.698888889,1
Feature,Point,51.98055556,7.780555556,260
Feature,Point,51.98722222,7.794166667,14
Feature,Point,51.91722222,7.810277778,1
Feature,Point,51.94388889,7.772222222,2
Feature,Point,51.93,7.719444444,2
Feature,Point,51.93833333,7.705833333,1
Feature,Point,51.95,7.666388889,2
Feature,Point,51.95166667,7.649722222,3
Feature,Point,51.95583333,7.643333333,6
Feature,Point,51.95972222,7.634722222,237
Feature,Point,51.94916667,7.638055556,33
Feature,Point,51.83527778,7.691111111,2
Feature,Point,51.73083333,7.859166667,11
Feature,Point,51.80388889,8.033888889,6
Feature,Point,51.81777778,8.077777778,8
Feature,Point,51.89416667,8.374166667,2
Feature,Point,51.97111111,8.453333333,8
Feature,Point,52.02944444,8.534166667,48
Feature,Point,52.03555556,8.565833333,1
Feature,Point,52.03944444,8.569166667,4
Feature,Point,52.05222222,8.591666667,5
Feature,Point,52.10083333,8.632777778,8
Feature,Point,52.15166667,8.666666667,19
Feature,Point,52.19861111,8.716111111,28
Feature,Point,52.20972222,8.760277778,13
Feature,Point,52.20138889,8.776111111,10
Feature,Point,52.20305556,8.811944444,5
Feature,Point,52.22527778,8.877777778,13
Feature,Point,52.26527778,9.0475,13
Feature,Point,52.26777778,9.065833333,13
Feature,Point,52.26888889,9.135277778,4
Feature,Point,52.32888889,9.180277778,4
Feature,Point,52.35361111,9.283333333,34
Feature,Point,52.41416667,9.490277778,5
Feature,Point,52.38972222,9.598333333,17
Feature,Point,52.37972222,9.801944444,4
Feature,Point,52.36027778,9.854166667,7
Feature,Point,52.37083333,9.971111111,8
Feature,Point,52.38611111,10.00027778,9
Feature,Point,52.43388889,10.79416667,8
Feature,Point,52.43722222,10.99916667,50
Feature,Point,52.58638889,12.33805556,2
Feature,Point,52.54638889,12.94333333,18
Feature,Point,52.53972222,12.97888889,2
Feature,Point,52.5075,12.96666667,1
Feature,Point,52.41138889,12.98194444,4
Feature,Point,52.39388889,13.06,4
Feature,Point,52.39444444,13.08194444,3
Feature,Point,52.38555556,13.10444444,1
Feature,Point,52.39194444,13.12888889,4
Feature,Point,52.42027778,13.17888889,7
Feature,Point,52.50805556,13.34416667,6
Feature,Point,52.51944444,13.345,26
Feature,Point,52.51416667,13.40861111,9
Feature,Point,52.52,13.42,1
Feature,Point,52.51611111,13.41305556,5
Feature,Point,52.49916667,13.41861111,33
Feature,Point,52.50388889,13.38166667,79
Feature,Point,52.4425,13.34416667,8
Feature,Point,52.4525,13.3325,2
Feature,Point,52.45305556,13.34388889,2
Feature,Point,52.43166667,13.31111111,4
Feature,Point,52.44444444,13.28888889,1
Feature,Point,52.4475,13.3025,1
Feature,Point,52.45333333,13.31305556,8
Feature,Point,52.4575,13.32361111,3
Feature,Point,52.46666667,13.31194444,2
Feature,Point,52.47138889,13.33166667,2
Feature,Point,52.47666667,13.33777778,1
Feature,Point,52.47916667,13.34305556,7
Feature,Point,52.46888889,13.37583333,2
Feature,Point,52.46611111,13.43,2
Feature,Point,52.48138889,13.47388889,1
Feature,Point,52.49444444,13.47055556,7
Feature,Point,52.505,13.46944444,1
Feature,Point,52.50194444,13.48472222,7
Feature,Point,52.50833333,13.45027778,1
Feature,Point,52.54388889,13.39972222,30
Feature,Point,52.54138889,13.41166667,31
Feature,Point,52.52277778,13.43277778,7
Feature,Point,52.52694444,13.44833333,24
Feature,Point,52.53388889,13.43888889,3
Feature,Point,52.52083333,13.41472222,18
Feature,Point,52.54361111,13.15055556,7
Feature,Point,52.5175,11.33333333,10
Feature,Point,52.42777778,10.77666667,5
Feature,Point,52.45638889,10.55361111,21
Feature,Point,52.41666667,10.17638889,14
Feature,Point,52.39166667,10.08388889,4
Feature,Point,52.37861111,9.9925,21
Feature,Point,52.37472222,10.04833333,3
Feature,Point,52.37555556,9.751666667,5
Feature,Point,52.37777778,9.743055556,8
Feature,Point,52.39222222,9.721944444,18
Feature,Point,52.39333333,9.689722222,8
Feature,Point,52.37916667,9.208611111,16
Feature,Point,52.30333333,8.951666667,24
Feature,Point,52.2125,8.885555556,8
